Name,Age,Tm,WS,WS/48,Season,Surname,First Name,PlayerID
Victor Alexander,24.0,GSW,2.3,0.083,1993-94,Alexander,Victor,43
Victor Alexander,25.0,GSW,1.1,0.044000000000000004,1994-95,Alexander,Victor,43
Victor Alexander,32.0,DET,-0.1,-0.073,2001-02,Alexander,Victor,43
Steve Alford,23.0,DAL,0.3,0.08199999999999999,1987-88,Alford,Steve,45
Steve Alford,24.0,TOT,1.4,0.07200000000000001,1988-89,Alford,Steve,45
Steve Alford,24.0,DAL,0.0,-0.026000000000000002,1988-89,Alford,Steve,45
Steve Alford,24.0,GSW,1.4,0.076,1988-89,Alford,Steve,45
Steve Alford,25.0,DAL,0.9,0.14400000000000002,1989-90,Alford,Steve,45
Steve Alford,26.0,DAL,0.6,0.121,1990-91,Alford,Steve,45
Jerome Allen,23.0,MIN,-0.3,-0.033,1995-96,Allen,Jerome,49
Jerome Allen,24.0,TOT,0.4,0.021,1996-97,Allen,Jerome,49
Jerome Allen,24.0,IND,0.5,0.035,1996-97,Allen,Jerome,49
Jerome Allen,24.0,DEN,-0.1,-0.019,1996-97,Allen,Jerome,49
Lavoy Allen,22.0,PHI,1.6,0.124,2011-12,Allen,Lavoy,51
Lavoy Allen,23.0,PHI,2.5,0.07200000000000001,2012-13,Allen,Lavoy,51
Lavoy Allen,24.0,TOT,1.5,0.066,2013-14,Allen,Lavoy,51
Lavoy Allen,24.0,PHI,1.1,0.053,2013-14,Allen,Lavoy,51
Lavoy Allen,24.0,IND,0.4,0.18,2013-14,Allen,Lavoy,51
Lavoy Allen,25.0,IND,2.8,0.127,2014-15,Allen,Lavoy,51
Lavoy Allen,26.0,IND,3.7,0.11,2015-16,Allen,Lavoy,51
Lavoy Allen,27.0,IND,1.7,0.09300000000000001,2016-17,Allen,Lavoy,51
Malik Allen,23.0,MIA,0.5,0.141,2001-02,Allen,Malik,52
Malik Allen,24.0,MIA,0.9,0.018000000000000002,2002-03,Allen,Malik,52
Malik Allen,25.0,MIA,0.7,0.051,2003-04,Allen,Malik,52
Malik Allen,26.0,TOT,1.1,0.1,2004-05,Allen,Malik,52
Malik Allen,26.0,MIA,0.6,0.113,2004-05,Allen,Malik,52
Malik Allen,26.0,CHA,0.5,0.08800000000000001,2004-05,Allen,Malik,52
Malik Allen,27.0,CHI,1.0,0.068,2005-06,Allen,Malik,52
Malik Allen,28.0,CHI,1.0,0.073,2006-07,Allen,Malik,52
Malik Allen,29.0,TOT,1.0,0.045,2007-08,Allen,Malik,52
Malik Allen,29.0,NJN,0.4,0.023,2007-08,Allen,Malik,52
Malik Allen,29.0,DAL,0.7,0.096,2007-08,Allen,Malik,52
Malik Allen,30.0,MIL,0.3,0.024,2008-09,Allen,Malik,52
Malik Allen,31.0,DEN,0.1,0.009000000000000001,2009-10,Allen,Malik,52
Malik Allen,32.0,ORL,0.2,0.046,2010-11,Allen,Malik,52
Randy Allen,24.0,SAC,0.0,-0.035,1988-89,Allen,Randy,53
Randy Allen,25.0,SAC,0.2,0.013999999999999999,1989-90,Allen,Randy,53
Ray Allen,21.0,MIL,4.9,0.092,1996-97,Allen,Ray,54
Ray Allen,22.0,MIL,7.0,0.102,1997-98,Allen,Ray,54
Ray Allen,23.0,MIL,5.2,0.146,1998-99,Allen,Ray,54
Ray Allen,24.0,MIL,10.1,0.157,1999-00,Allen,Ray,54
Ray Allen,25.0,MIL,13.7,0.21100000000000002,2000-01,Allen,Ray,54
Ray Allen,26.0,MIL,8.9,0.16899999999999998,2001-02,Allen,Ray,54
Ray Allen,27.0,TOT,9.1,0.152,2002-03,Allen,Ray,54
Ray Allen,27.0,MIL,4.3,0.12300000000000001,2002-03,Allen,Ray,54
Ray Allen,27.0,SEA,4.8,0.193,2002-03,Allen,Ray,54
Ray Allen,28.0,SEA,6.9,0.153,2003-04,Allen,Ray,54
Ray Allen,29.0,SEA,10.7,0.168,2004-05,Allen,Ray,54
Ray Allen,30.0,SEA,9.5,0.15,2005-06,Allen,Ray,54
Ray Allen,31.0,SEA,6.3,0.136,2006-07,Allen,Ray,54
Ray Allen,32.0,BOS,9.7,0.177,2007-08,Allen,Ray,54
Ray Allen,33.0,BOS,11.1,0.18600000000000003,2008-09,Allen,Ray,54
Ray Allen,34.0,BOS,7.9,0.135,2009-10,Allen,Ray,54
Ray Allen,35.0,BOS,10.0,0.166,2010-11,Allen,Ray,54
Ray Allen,36.0,BOS,4.7,0.145,2011-12,Allen,Ray,54
Ray Allen,37.0,MIA,5.4,0.126,2012-13,Allen,Ray,54
Ray Allen,38.0,MIA,4.1,0.10099999999999999,2013-14,Allen,Ray,54
Tony Allen,23.0,BOS,2.7,0.10300000000000001,2004-05,Allen,Tony,55
Tony Allen,24.0,BOS,1.7,0.08199999999999999,2005-06,Allen,Tony,55
Tony Allen,25.0,BOS,1.9,0.111,2006-07,Allen,Tony,55
Tony Allen,26.0,BOS,2.7,0.09300000000000001,2007-08,Allen,Tony,55
Tony Allen,27.0,BOS,1.6,0.085,2008-09,Allen,Tony,55
Tony Allen,28.0,BOS,1.9,0.1,2009-10,Allen,Tony,55
Tony Allen,29.0,MEM,4.7,0.152,2010-11,Allen,Tony,55
Tony Allen,30.0,MEM,4.2,0.131,2011-12,Allen,Tony,55
Tony Allen,31.0,MEM,5.1,0.115,2012-13,Allen,Tony,55
Tony Allen,32.0,MEM,2.7,0.1,2013-14,Allen,Tony,55
Tony Allen,33.0,MEM,4.1,0.11900000000000001,2014-15,Allen,Tony,55
Tony Allen,34.0,MEM,2.4,0.07200000000000001,2015-16,Allen,Tony,55
Tony Allen,35.0,MEM,3.1,0.077,2016-17,Allen,Tony,55
Lance Allred,26.0,CLE,0.0,-0.125,2007-08,Allred,Lance,56
Darrell Allums,22.0,DAL,-0.3,-0.054000000000000006,1980-81,Allums,Darrell,57
Morris Almond,22.0,UTA,-0.1,-0.081,2007-08,Almond,Morris,58
Morris Almond,23.0,UTA,0.1,0.01,2008-09,Almond,Morris,58
Morris Almond,26.0,WAS,0.0,0.032,2011-12,Almond,Morris,58
Derrick Alston,22.0,PHI,1.0,0.045,1994-95,Alston,Derrick,59
Derrick Alston,23.0,PHI,1.7,0.052000000000000005,1995-96,Alston,Derrick,59
Derrick Alston,24.0,ATL,-0.1,-0.415,1996-97,Alston,Derrick,59
Rafer Alston,23.0,MIL,-0.7,-0.095,1999-00,Alston,Rafer,60
Rafer Alston,24.0,MIL,0.3,0.055,2000-01,Alston,Rafer,60
Rafer Alston,25.0,MIL,0.7,0.059000000000000004,2001-02,Alston,Rafer,60
Rafer Alston,26.0,TOR,1.2,0.059000000000000004,2002-03,Alston,Rafer,60
Rafer Alston,27.0,MIA,5.9,0.11,2003-04,Alston,Rafer,60
Rafer Alston,28.0,TOR,5.5,0.098,2004-05,Alston,Rafer,60
Rafer Alston,29.0,HOU,3.4,0.067,2005-06,Alston,Rafer,60
Rafer Alston,30.0,HOU,6.6,0.10400000000000001,2006-07,Alston,Rafer,60
Rafer Alston,31.0,HOU,5.0,0.095,2007-08,Alston,Rafer,60
Rafer Alston,32.0,TOT,5.3,0.10400000000000001,2008-09,Alston,Rafer,60
