Dim1,Dim2
0.8456133,0.39388573
0.5270438,0.19097999
0.2885422,0.16553432
0.4059307,0.10973215
0.47298932,0.97661686
0.78779364,0.9066986
0.8439126,0.79669356
0.41119143,0.83946586
0.6598864,0.7165588
0.11808142,0.54854906
0.7697644,0.5895145
0.18819058,0.40577972
0.31526428,0.35855687
0.23330814,0.31712258
0.6637693,0.31744236
0.58027315,0.8041961
0.41448373,0.7398207
0.79473644,0.5624894
0.21655881,0.51051223
0.24088609,0.4477208
0.8080413,0.49194992
0.6080976,0.35504663
0.3447324,0.26989484
0.55312324,0.2302432
0.092188746,0.69515586
0.3149389,0.8270195
0.30081737,0.6756229
0.033186346,0.458933
0.92935693,0.6601407
0.08645913,0.37945855
0.87127006,0.50694555
0.1143195,0.3661344
0.5029276,0.9969946
0.0901421,0.70396596
0.047073126,0.58899754
0.14285138,0.70924485
0.636346,0.71142393
0.91498137,0.7581541
0.7650677,0.8813705
0.88671046,0.77538776
0.7351151,0.8321805
0.38024467,0.77345014
0.5149921,0.68394524
